unique_video_id,filename,Number_of_vertice,Number_of_edge,in_degree,out_degree,betweenness,density,transitivity,reciprocity,constraint,Number_of_topics,Content_type,Verified_status,Number_of_thumbs,Number_of_transmits,Number_of_comments,Followee,Follower,Publisher,Government_account,Unnamed: 12,Video_duration,Publish_date,Number_of_views,Video_length,nowtime,Published_days
219,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国人少浪费点，能拯救多少亚马逊雨林？.csv.csv,551,1685,550,550,301005,0.0055601385909915,0.0081500103744951,0.67580452920143,0.992202421287284,12,2,1,13000,193,730,164,1263000,留学生日报,2,https://www.bilibili.com/video/BV1RV411e7YR?from=search&seid=6075194328091201621,00:07:19,2021-02-24 13:01:32,86000,439,2022-01-09 14:08:02.086693,319
220,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国圣诞树一棵535元 ，气候变化致美国圣诞树价格翻倍！.csv.csv,263,785,262,262,67855,0.0113923315821554,0.0180268607407053,0.676165803108808,0.987030251548432,7,3,1,1052,14,413,23,199000,央视财经,1,https://www.bilibili.com/video/BV1cJ411B7VL?from=search&seid=6075194328091201621,00:02:08,2019-12-04 14:00:38,54000,128,2022-01-09 14:08:02.086693,767
221,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国学者刚为中国说几句话，BBC主持人就急了.csv.csv,353,1058,352,352,122730,0.0085146793716198,0.0130650475264772,0.682464454976303,0.991494012949522,4,1,1,22000,285,430,12,152000,长安街知事,1,https://www.bilibili.com/video/BV1WK4y1o7rJ?from=search&seid=6075194328091201621,00:02:05,2021-04-17 10:28:16,386000,125,2022-01-09 14:08:02.086693,267
222,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国学者在BBC讲几句真相却被主持人频繁打断，怒了：请听我说完！.csv.csv,369,1113,368,368,134160,0.0081963591375044,0.0123478943531655,0.676311030741411,0.991683606783675,9,1,1,13000,231,427,28,1387000,环球时报,1,https://www.bilibili.com/video/BV1x5411c7Ek?from=search&seid=6075194328091201621,00:01:54,2021-04-16 14:21:52,265000,114,2022-01-09 14:08:02.086693,267
223,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国严重的食品浪费正在加剧全球气候变化.csv.csv,741,2265,740,740,545585,0.0041306488674909,0.0059337490940081,0.676131322094055,0.9934843817586,6,2,1,12000,182,984,17,2423000,央视频,1,https://www.bilibili.com/video/BV14y4y147NJ?from=search&seid=6075194328091201621,00:03:09,2021-04-24 10:53:25,82000,189,2022-01-09 14:08:02.086693,260
224,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美国政府发了份气候评估报告，然后特朗普…….csv.csv,800,2355,799,799,636019,0.0036842928660826,0.0048238102762747,0.679438058748404,0.995102339010513,13,1,1,2566,211,913,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1Bt41197yv?from=search&seid=6075194328091201621,00:00:44,2018-11-27 09:47:00,129000,44,2022-01-09 14:08:02.086693,1139
225,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美记者：能否用英文回答？中特使：那你拿中文提问.csv.csv,1582,4837,1581,1581,2495128,0.0019339165869031,0.003373299550363,0.669011170872983,0.997327845664282,20,1,1,53000,700,1909,52,4213000,新华社,1,https://www.bilibili.com/video/BV18v411M7PE?from=search&seid=6075194328091201621,00:00:46,2021-11-09 09:01:57,553000,46,2022-01-09 14:08:02.086693,61
226,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美新任国务卿布林肯首谈中美关系：今后世界上最重要的关系.csv.csv,272,805,271,271,72622,0.0109208812676362,0.0139120855690985,0.677459526774595,0.988071169944396,3,1,1,2712,31,289,28,1387000,环球时报,1,https://www.bilibili.com/video/BV1VV411B7aJ?from=search&seid=6075194328091201621,00:01:16,2021-01-28 14:07:33,74000,76,2022-01-09 14:08:02.086693,346
227,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美议员：在人类出现以前就有碳排放了，这叫大自然.csv.csv,1049,3148,1048,1048,1095899,0.0028635050466092,0.0036832721652772,0.677901430842607,0.995304911536011,9,1,1,18000,134,1165,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1QU4y1u74D?from=search&seid=6075194328091201621,00:01:47,2021-11-04 11:15:12,255000,107,2022-01-09 14:08:02.086693,66
228,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/美议员竟想通过改变地球轨道解决气候变化.csv.csv,245,721,244,244,58809,0.0120608899297424,0.0145178673316287,0.682451253481894,0.986760186405381,1,1,1,2957,71,268,178,1912000,中国日报,1,https://www.bilibili.com/video/BV1HV41147za?from=search&seid=6075194328091201621,00:01:34,2021-06-11 10:16:46,30000,94,2022-01-09 14:08:02.086693,212
